STATE,COUNTY,B19013_001E_2018,B01001_001E_2018,B25058_001E_2018,B19013_001E_2019,B01001_001E_2019,B25058_001E_2019,B19013_001E_2021,B01001_001E_2021,B25058_001E_2021,B19013_001E_2022,B01001_001E_2022,B25058_001E_2022
06,057,66299,99696,1030,68818,99755,1213,79519.0,103487.0,1287.0,78401.0,102293.0,1335.0
06,059,89759,3185968,1790,95934,3175692,1841,100559.0,3167809.0,1958.0,106209.0,3151184.0,2125.0
06,061,88592,393149,1438,97723,398329,1507,103659.0,412300.0,1659.0,105445.0,417772.0,1719.0
06,065,66964,2450758,1207,73260,2470546,1328,79024.0,2458395.0,1408.0,86748.0,2473902.0,1555.0
06,067,69767,1540975,1152,72017,1552058,1224,80063.0,1588921.0,1355.0,84211.0,1584169.0,1485.0
06,071,63857,2171603,1130,67903,2180085,1190,74846.0,2194710.0,1343.0,79091.0,2193656.0,1442.0
06,073,79079,3343364,1578,83985,3338330,1662,91003.0,3286069.0,1805.0,98928.0,3276208.0,1905.0
06,075,112376,883305,1822,123859,881549,1889,121826.0,815201.0,2072.0,136692.0,808437.0,2226.0
06,077,64119,752660,1034,68997,762148,1082,80681.0,789410.0,1247.0,86056.0,793229.0,1330.0
06,079,71148,284010,1291,77265,283111,1533,80615.0,283159.0,1600.0,90216.0,282013.0,1712.0
06,081,124425,769545,2320,138500,766573,2415,131796.0,737888.0,2394.0,145388.0,729181.0,2572.0
06,083,77472,446527,1562,75653,446499,1558,84846.0,446475.0,1752.0,90894.0,443837.0,1838.0
06,085,126606,1937570,2225,133076,1927852,2295,141562.0,1885508.0,2355.0,150839.0,1870945.0,2496.0
06,087,86941,274255,1610,89269,273213,1694,93933.0,267792.0,1865.0,102146.0,264370.0,1920.0
06,089,56280,180040,823,63091,180080,868,61125.0,182139.0,874.0,68276.0,180930.0,900.0
06,095,84395,446610,1509,86652,447643,1585,87770.0,451716.0,1685.0,92959.0,448747.0,1826.0
