State,County,Name,Year,Total Population,Total Worked from Home,Total With Public Assistance,Median Household Income,Median Rent
Texas,Liberty County,"Liberty County, Texas",2006,75685,,424,39310,465
Texas,Lubbock County,"Lubbock County, Texas",2006,254862,4304.0,1873,37863,521
Texas,McLennan County,"McLennan County, Texas",2006,226189,1905.0,1460,36442,479
Texas,Midland County,"Midland County, Texas",2006,124380,,476,45437,450
Texas,Montgomery County,"Montgomery County, Texas",2006,398290,9109.0,1248,60224,632
Texas,Nueces County,"Nueces County, Texas",2006,321457,3570.0,1553,36773,530
Texas,Orange County,"Orange County, Texas",2006,84243,,1456,42210,407
Texas,Parker County,"Parker County, Texas",2006,106266,,374,54177,469
Texas,Potter County,"Potter County, Texas",2006,121328,,656,32582,465
Texas,Randall County,"Randall County, Texas",2006,111472,,569,51769,557
Texas,Rockwall County,"Rockwall County, Texas",2006,69155,,484,71224,798
Texas,San Patricio County,"San Patricio County, Texas",2006,69522,,571,39308,489
Texas,Smith County,"Smith County, Texas",2006,194635,2982.0,674,41090,521
Texas,Tarrant County,"Tarrant County, Texas",2006,1671295,29641.0,8718,51813,599
Texas,Taylor County,"Taylor County, Texas",2006,124927,,786,39825,475
Texas,Tom Green County,"Tom Green County, Texas",2006,103938,,592,35187,478
Texas,Travis County,"Travis County, Texas",2006,921006,26132.0,4099,50777,677
Texas,Victoria County,"Victoria County, Texas",2006,86191,855.0,484,45542,476
Texas,Webb County,"Webb County, Texas",2006,231470,2268.0,1991,33026,447
Texas,Wichita County,"Wichita County, Texas",2006,125158,,1126,35754,465
Texas,Williamson County,"Williamson County, Texas",2006,353830,8135.0,985,62494,739
Utah,Cache County,"Cache County, Utah",2006,98662,3128.0,800,43059,489
Utah,Davis County,"Davis County, Utah",2006,276259,5937.0,1973,61263,631
Utah,Salt Lake County,"Salt Lake County, Utah",2006,978701,20037.0,6657,52879,638
Utah,Utah County,"Utah County, Utah",2006,464760,11887.0,1890,50544,589
Utah,Washington County,"Washington County, Utah",2006,126312,2066.0,650,45998,759
Utah,Weber County,"Weber County, Utah",2006,213247,2907.0,1841,49342,555
Vermont,Chittenden County,"Chittenden County, Vermont",2006,150069,3038.0,1922,54897,768
Virginia,Albemarle County,"Albemarle County, Virginia",2006,92035,,118,57122,796
Virginia,Alexandria city,"Alexandria city, Virginia",2006,136974,2928.0,192,80449,1156
Virginia,Arlington County,"Arlington County, Virginia",2006,199776,6387.0,602,87350,1224
Virginia,Augusta County,"Augusta County, Virginia",2006,71672,,669,45207,449
Virginia,Bedford County,"Bedford County, Virginia",2006,68043,,636,49801,436
Virginia,Chesapeake city,"Chesapeake city, Virginia",2006,220560,2230.0,1220,62126,714
Virginia,Chesterfield County,"Chesterfield County, Virginia",2006,296718,5703.0,951,67570,757
Virginia,Fairfax County,"Fairfax County, Virginia",2006,1010443,24752.0,2743,100318,1248
Virginia,Fauquier County,"Fauquier County, Virginia",2006,66730,,362,74716,821
Virginia,Frederick County,"Frederick County, Virginia",2006,71187,,0,55231,764
Virginia,Hampton city,"Hampton city, Virginia",2006,145017,1435.0,1526,47636,689
Virginia,Hanover County,"Hanover County, Virginia",2006,98983,,355,68531,758
Virginia,Henrico County,"Henrico County, Virginia",2006,284399,5409.0,1384,57195,742
Virginia,Loudoun County,"Loudoun County, Virginia",2006,268817,7700.0,394,99371,1244
Virginia,Lynchburg city,"Lynchburg city, Virginia",2006,68158,,943,36010,450
Virginia,Montgomery County,"Montgomery County, Virginia",2006,84541,,620,38496,558
Virginia,Newport News city,"Newport News city, Virginia",2006,178281,3504.0,2201,44226,636
Virginia,Norfolk city,"Norfolk city, Virginia",2006,229112,12524.0,2244,40230,625
Virginia,Portsmouth city,"Portsmouth city, Virginia",2006,101377,,1159,41670,658
Virginia,Prince William County,"Prince William County, Virginia",2006,357503,6629.0,1120,80783,1086
Virginia,Richmond city,"Richmond city, Virginia",2006,192913,1768.0,3560,35764,588
Virginia,Roanoke County,"Roanoke County, Virginia",2006,90482,,353,52931,621
Virginia,Roanoke city,"Roanoke city, Virginia",2006,91552,,806,35532,473
Virginia,Rockingham County,"Rockingham County, Virginia",2006,72564,2315.0,286,47630,475
Virginia,Spotsylvania County,"Spotsylvania County, Virginia",2006,119529,1950.0,321,72453,1043
Virginia,Stafford County,"Stafford County, Virginia",2006,120170,1284.0,359,85014,1096
Virginia,Suffolk city,"Suffolk city, Virginia",2006,81071,,737,60703,599
Virginia,Virginia Beach city,"Virginia Beach city, Virginia",2006,435619,8603.0,873,61333,875
Washington,Benton County,"Benton County, Washington",2006,159463,1635.0,2821,50688,569
Washington,Chelan County,"Chelan County, Washington",2006,71034,,619,49092,535
Washington,Clallam County,"Clallam County, Washington",2006,70400,1637.0,1123,40672,576
Washington,Clark County,"Clark County, Washington",2006,412938,10477.0,4514,55405,685
Washington,Cowlitz County,"Cowlitz County, Washington",2006,99905,,2061,43728,515
Washington,Franklin County,"Franklin County, Washington",2006,66570,,732,42417,433
Washington,Grant County,"Grant County, Washington",2006,82612,,1760,36965,477
Washington,Grays Harbor County,"Grays Harbor County, Washington",2006,71587,,975,40272,477
Washington,Island County,"Island County, Washington",2006,81489,2228.0,327,49022,788
Washington,King County,"King County, Washington",2006,1826732,55605.0,18450,63489,789
Washington,Kitsap County,"Kitsap County, Washington",2006,240604,7425.0,2765,55257,727
Washington,Lewis County,"Lewis County, Washington",2006,73585,,1460,41983,521
Washington,Pierce County,"Pierce County, Washington",2006,766878,16238.0,10946,53923,694
Washington,Skagit County,"Skagit County, Washington",2006,115700,2299.0,913,48222,723
Washington,Snohomish County,"Snohomish County, Washington",2006,669887,15386.0,6968,60002,749
Washington,Spokane County,"Spokane County, Washington",2006,446706,8934.0,7235,42408,545
Washington,Thurston County,"Thurston County, Washington",2006,234670,3689.0,2350,52935,699
Washington,Whatcom County,"Whatcom County, Washington",2006,185953,5773.0,2666,43798,681
Washington,Yakima County,"Yakima County, Washington",2006,233105,3305.0,4197,38909,479
West Virginia,Berkeley County,"Berkeley County, West Virginia",2006,97534,,1058,54097,523
West Virginia,Cabell County,"Cabell County, West Virginia",2006,93904,,1013,34943,423
West Virginia,Harrison County,"Harrison County, West Virginia",2006,68745,,572,37512,400
West Virginia,Kanawha County,"Kanawha County, West Virginia",2006,192419,2239.0,1754,36166,418
West Virginia,Monongalia County,"Monongalia County, West Virginia",2006,84752,,431,35222,477
West Virginia,Raleigh County,"Raleigh County, West Virginia",2006,79302,,477,38924,373
West Virginia,Wood County,"Wood County, West Virginia",2006,86597,,930,36542,406
Wisconsin,Brown County,"Brown County, Wisconsin",2006,240213,3612.0,1886,49978,550
Wisconsin,Dane County,"Dane County, Wisconsin",2006,463826,9442.0,1226,57693,692
Wisconsin,Dodge County,"Dodge County, Wisconsin",2006,88983,1746.0,153,49266,536
Wisconsin,Eau Claire County,"Eau Claire County, Wisconsin",2006,94741,2530.0,395,46927,518
Wisconsin,Fond du Lac County,"Fond du Lac County, Wisconsin",2006,99243,1291.0,175,48551,515
Wisconsin,Jefferson County,"Jefferson County, Wisconsin",2006,80025,,337,50852,599
Wisconsin,Kenosha County,"Kenosha County, Wisconsin",2006,162001,1596.0,1177,51941,632
Wisconsin,La Crosse County,"La Crosse County, Wisconsin",2006,109404,2358.0,1009,44785,476
Wisconsin,Manitowoc County,"Manitowoc County, Wisconsin",2006,81911,,223,46926,417
Wisconsin,Marathon County,"Marathon County, Wisconsin",2006,130223,2339.0,786,50443,478
Wisconsin,Milwaukee County,"Milwaukee County, Wisconsin",2006,915097,10919.0,9129,41308,576
Wisconsin,Outagamie County,"Outagamie County, Wisconsin",2006,172734,3383.0,694,50265,520
Wisconsin,Ozaukee County,"Ozaukee County, Wisconsin",2006,86321,,104,69452,630
Wisconsin,Portage County,"Portage County, Wisconsin",2006,67484,1030.0,362,52354,504
Wisconsin,Racine County,"Racine County, Wisconsin",2006,196096,2401.0,970,50758,537
Wisconsin,Rock County,"Rock County, Wisconsin",2006,159153,2010.0,1702,46190,526
Wisconsin,Sheboygan County,"Sheboygan County, Wisconsin",2006,114756,2082.0,331,46375,479
Wisconsin,St. Croix County,"St. Croix County, Wisconsin",2006,80015,2196.0,248,67199,674
Wisconsin,Walworth County,"Walworth County, Wisconsin",2006,101007,,336,51846,588
Wisconsin,Washington County,"Washington County, Wisconsin",2006,127578,,855,58600,594
Wisconsin,Waukesha County,"Waukesha County, Wisconsin",2006,380985,7575.0,1373,69398,738
Wisconsin,Winnebago County,"Winnebago County, Wisconsin",2006,160593,2422.0,565,49043,507
Wisconsin,Wood County,"Wood County, Wisconsin",2006,74774,,603,45937,402
Wyoming,Laramie County,"Laramie County, Wyoming",2006,85384,,442,50907,557
Wyoming,Natrona County,"Natrona County, Wyoming",2006,70401,,1129,45833,466
Alabama,Baldwin County,"Baldwin County, Alabama",2007,171769,,613,49119,653
Alabama,Calhoun County,"Calhoun County, Alabama",2007,113103,,1093,37074,398
Alabama,Cullman County,"Cullman County, Alabama",2007,80554,,9,39095,384
Alabama,DeKalb County,"DeKalb County, Alabama",2007,68016,,145,35680,319
Alabama,Elmore County,"Elmore County, Alabama",2007,77525,,149,49495,478
Alabama,Etowah County,"Etowah County, Alabama",2007,103217,,519,34637,349
Alabama,Houston County,"Houston County, Alabama",2007,97171,643.0,448,40261,414
Alabama,Jefferson County,"Jefferson County, Alabama",2007,658779,6199.0,2542,44925,521
Alabama,Lauderdale County,"Lauderdale County, Alabama",2007,88561,,642,36899,359
Alabama,Lee County,"Lee County, Alabama",2007,130516,2181.0,637,39355,477
Alabama,Limestone County,"Limestone County, Alabama",2007,73898,,227,46583,354
Alabama,Madison County,"Madison County, Alabama",2007,312734,,1211,51931,523
Alabama,Marshall County,"Marshall County, Alabama",2007,87644,,366,34153,347
Alabama,Mobile County,"Mobile County, Alabama",2007,404406,5428.0,2854,37391,479
Alabama,Montgomery County,"Montgomery County, Alabama",2007,225791,3528.0,1829,41143,511
Alabama,Morgan County,"Morgan County, Alabama",2007,115050,,149,42990,382
Alabama,Shelby County,"Shelby County, Alabama",2007,182113,,588,66391,601
Alabama,St. Clair County,"St. Clair County, Alabama",2007,76609,,262,50829,422
Alabama,Talladega County,"Talladega County, Alabama",2007,80255,,250,39297,313
Alabama,Tuscaloosa County,"Tuscaloosa County, Alabama",2007,177906,1808.0,1232,40943,508
Alabama,Walker County,"Walker County, Alabama",2007,68816,,278,34478,369
Alaska,Anchorage Municipality,"Anchorage Municipality, Alaska",2007,279671,6152.0,5763,68726,910
Alaska,Fairbanks North Star Borough,"Fairbanks North Star Borough, Alaska",2007,97484,4214.0,1761,65327,846
Alaska,Matanuska-Susitna Borough,"Matanuska-Susitna Borough, Alaska",2007,82669,2210.0,1356,65321,777
Arizona,Apache County,"Apache County, Arizona",2007,69980,,1257,30534,320
Arizona,Cochise County,"Cochise County, Arizona",2007,127866,,950,44499,566
Arizona,Coconino County,"Coconino County, Arizona",2007,127450,4507.0,767,49633,758
Arizona,Maricopa County,"Maricopa County, Arizona",2007,3880181,87396.0,17289,54730,761
Arizona,Mohave County,"Mohave County, Arizona",2007,194944,,2714,39991,674
Arizona,Navajo County,"Navajo County, Arizona",2007,111273,,1783,40190,424
Arizona,Pima County,"Pima County, Arizona",2007,967089,19500.0,8877,43546,610
Arizona,Pinal County,"Pinal County, Arizona",2007,299246,5091.0,2359,50228,632
Arizona,Yavapai County,"Yavapai County, Arizona",2007,212635,,1770,44408,691
Arizona,Yuma County,"Yuma County, Arizona",2007,190557,2269.0,672,40733,569
Arkansas,Benton County,"Benton County, Arkansas",2007,203107,3071.0,534,48373,542
Arkansas,Craighead County,"Craighead County, Arkansas",2007,91552,,360,40873,439
Arkansas,Faulkner County,"Faulkner County, Arkansas",2007,104865,,243,44280,469
Arkansas,Garland County,"Garland County, Arkansas",2007,96371,,786,34947,473
Arkansas,Jefferson County,"Jefferson County, Arkansas",2007,78986,,773,36725,421
Arkansas,Pulaski County,"Pulaski County, Arkansas",2007,373911,5575.0,1991,44754,526
Arkansas,Saline County,"Saline County, Arkansas",2007,96212,,342,50094,513
Arkansas,Sebastian County,"Sebastian County, Arkansas",2007,121766,,594,39919,410
Arkansas,Washington County,"Washington County, Arkansas",2007,194292,,875,42689,510
Arkansas,White County,"White County, Arkansas",2007,73441,,962,36859,417
California,Alameda County,"Alameda County, California",2007,1464202,33904.0,15231,68740,1038
California,Butte County,"Butte County, California",2007,218779,4022.0,5113,39529,691
California,Contra Costa County,"Contra Costa County, California",2007,1019640,25195.0,7441,76436,1115
California,El Dorado County,"El Dorado County, California",2007,175689,6257.0,2047,64188,850
California,Fresno County,"Fresno County, California",2007,899348,12617.0,19211,47298,679
California,Humboldt County,"Humboldt County, California",2007,128864,3887.0,1716,36870,685
California,Imperial County,"Imperial County, California",2007,161867,1823.0,5283,31912,499
California,Kern County,"Kern County, California",2007,790710,7357.0,12117,47105,641
California,Kings County,"Kings County, California",2007,148875,1952.0,2795,46756,595
California,Lake County,"Lake County, California",2007,64664,,1357,40946,739
California,Los Angeles County,"Los Angeles County, California",2007,9878554,189537.0,102832,53573,957
California,Madera County,"Madera County, California",2007,146513,,883,44975,656
California,Marin County,"Marin County, California",2007,248096,12438.0,1279,83870,1363
California,Mendocino County,"Mendocino County, California",2007,86273,,448,42941,727
California,Merced County,"Merced County, California",2007,245514,2874.0,5912,44410,662
California,Monterey County,"Monterey County, California",2007,407637,7507.0,3430,57056,989
California,Napa County,"Napa County, California",2007,132565,3934.0,601,62081,1074
California,Nevada County,"Nevada County, California",2007,97027,,1156,59150,875
California,Orange County,"Orange County, California",2007,2997033,70629.0,16802,73263,1293
California,Placer County,"Placer County, California",2007,332920,10910.0,1813,69076,959
California,Riverside County,"Riverside County, California",2007,2073571,44424.0,14917,58145,944
California,Sacramento County,"Sacramento County, California",2007,1386667,24836.0,22226,56987,847
California,San Bernardino County,"San Bernardino County, California",2007,2007800,34340.0,20754,56428,919
California,San Diego County,"San Diego County, California",2007,2974859,86625.0,23406,61794,1089
California,San Francisco County,"San Francisco County, California",2007,764976,28262.0,6158,68023,1141
California,San Joaquin County,"San Joaquin County, California",2007,670990,9031.0,7767,52470,801
California,San Luis Obispo County,"San Luis Obispo County, California",2007,262436,7977.0,1600,56952,990
California,San Mateo County,"San Mateo County, California",2007,706984,16107.0,2264,83109,1369
California,Santa Barbara County,"Santa Barbara County, California",2007,404197,11896.0,3508,58401,1117
California,Santa Clara County,"Santa Clara County, California",2007,1748976,33568.0,12077,84360,1244
California,Santa Cruz County,"Santa Cruz County, California",2007,251747,8045.0,1107,63778,1094
California,Shasta County,"Shasta County, California",2007,179427,3219.0,1820,41901,651
California,Solano County,"Solano County, California",2007,408599,5468.0,4328,66880,1025
California,Sonoma County,"Sonoma County, California",2007,464435,16433.0,2233,62399,1069
California,Stanislaus County,"Stanislaus County, California",2007,511263,9027.0,6236,50616,782
California,Sutter County,"Sutter County, California",2007,92040,,1280,51382,678
California,Tulare County,"Tulare County, California",2007,421553,4822.0,7941,40595,576
California,Ventura County,"Ventura County, California",2007,798364,18148.0,4876,73250,1243
California,Yolo County,"Yolo County, California",2007,195844,3087.0,1412,59384,888
California,Yuba County,"Yuba County, California",2007,72098,,2570,42712,624
Colorado,Adams County,"Adams County, Colorado",2007,422495,8238.0,2042,52110,717
Colorado,Arapahoe County,"Arapahoe County, Colorado",2007,545089,14688.0,2884,58795,719
Colorado,Boulder County,"Boulder County, Colorado",2007,290262,12757.0,1483,63257,832
Colorado,Denver County,"Denver County, Colorado",2007,588349,14732.0,5647,44444,654
Colorado,Douglas County,"Douglas County, Colorado",2007,272117,13634.0,444,92824,941
Colorado,El Paso County,"El Paso County, Colorado",2007,587272,15966.0,3134,55210,670
Colorado,Jefferson County,"Jefferson County, Colorado",2007,529354,17914.0,3719,64416,747
Colorado,Larimer County,"Larimer County, Colorado",2007,287574,10000.0,2484,52046,690
Colorado,Mesa County,"Mesa County, Colorado",2007,139082,3524.0,949,50954,654
Colorado,Pueblo County,"Pueblo County, Colorado",2007,154538,,1453,41564,500
Colorado,Weld County,"Weld County, Colorado",2007,243750,4752.0,1006,52133,620
Connecticut,Fairfield County,"Fairfield County, Connecticut",2007,895015,20648.0,4865,80241,1020
Connecticut,Hartford County,"Hartford County, Connecticut",2007,876824,14429.0,9150,61096,724
Connecticut,Litchfield County,"Litchfield County, Connecticut",2007,188273,5071.0,1187,68407,685
Connecticut,Middlesex County,"Middlesex County, Connecticut",2007,164150,,718,72251,778
Connecticut,New Haven County,"New Haven County, Connecticut",2007,845494,11859.0,8554,59916,771
Connecticut,New London County,"New London County, Connecticut",2007,267376,3802.0,2305,61044,763
Connecticut,Tolland County,"Tolland County, Connecticut",2007,148139,,446,75497,791
Connecticut,Windham County,"Windham County, Connecticut",2007,117038,,860,58594,618
Delaware,Kent County,"Kent County, Delaware",2007,152255,1219.0,1423,46788,743
Delaware,New Castle County,"New Castle County, Delaware",2007,528218,8962.0,2710,59600,777
Delaware,Sussex County,"Sussex County, Delaware",2007,184291,2661.0,1590,50976,598
District of Columbia,District of Columbia,"District of Columbia, District of Columbia",2007,588292,14608.0,10235,54317,871
Florida,Alachua County,"Alachua County, Florida",2007,240082,2324.0,1240,37286,644
Florida,Bay County,"Bay County, Florida",2007,163984,2052.0,869,48985,733
Florida,Brevard County,"Brevard County, Florida",2007,536161,9638.0,2961,50354,759
Florida,Broward County,"Broward County, Florida",2007,1759591,37520.0,6214,52670,964
Florida,Charlotte County,"Charlotte County, Florida",2007,152814,,281,46707,811
Florida,Citrus County,"Citrus County, Florida",2007,140169,,763,35810,589
Florida,Clay County,"Clay County, Florida",2007,182023,,732,58555,788
Florida,Collier County,"Collier County, Florida",2007,315839,8355.0,638,57653,922
Florida,Columbia County,"Columbia County, Florida",2007,76552,,376,41321,497
Florida,Duval County,"Duval County, Florida",2007,849159,10769.0,3887,49230,704
Florida,Escambia County,"Escambia County, Florida",2007,306407,7669.0,1433,41894,608
Florida,Flagler County,"Flagler County, Florida",2007,88397,,381,41830,850
Florida,Hernando County,"Hernando County, Florida",2007,169070,,634,44172,704
Florida,Highlands County,"Highlands County, Florida",2007,99349,,720,33047,532
Florida,Hillsborough County,"Hillsborough County, Florida",2007,1174727,28172.0,5658,50572,761
Florida,Indian River County,"Indian River County, Florida",2007,131837,,394,46081,760
Florida,Lake County,"Lake County, Florida",2007,301059,,1383,46797,687
Florida,Lee County,"Lee County, Florida",2007,590564,11940.0,1538,50699,866
Florida,Leon County,"Leon County, Florida",2007,260945,3024.0,276,49234,658
Florida,Manatee County,"Manatee County, Florida",2007,315108,6995.0,1102,48980,789
Florida,Marion County,"Marion County, Florida",2007,324857,6329.0,1901,39294,580
Florida,Martin County,"Martin County, Florida",2007,139182,2223.0,100,55472,858
Florida,Miami-Dade County,"Miami-Dade County, Florida",2007,2387170,38030.0,11705,43650,854
Florida,Monroe County,"Monroe County, Florida",2007,73223,,114,60642,1012
Florida,Nassau County,"Nassau County, Florida",2007,68450,,157,55978,695
Florida,Okaloosa County,"Okaloosa County, Florida",2007,181499,3198.0,760,55543,809
Florida,Orange County,"Orange County, Florida",2007,1066113,22487.0,4407,51101,830
Florida,Osceola County,"Osceola County, Florida",2007,255815,3733.0,1260,48332,855
Florida,Palm Beach County,"Palm Beach County, Florida",2007,1266451,27976.0,4269,53453,967
Florida,Pasco County,"Pasco County, Florida",2007,462715,7604.0,2081,44526,702
Florida,Pinellas County,"Pinellas County, Florida",2007,917437,18272.0,5531,44292,706
Florida,Polk County,"Polk County, Florida",2007,574746,4744.0,2784,44348,634
Florida,Putnam County,"Putnam County, Florida",2007,73821,,333,32621,413
Florida,Santa Rosa County,"Santa Rosa County, Florida",2007,147044,2044.0,695,50341,582
Florida,Sarasota County,"Sarasota County, Florida",2007,372073,8509.0,1352,49735,866
Florida,Seminole County,"Seminole County, Florida",2007,409509,13645.0,1752,56011,862
Florida,St. Johns County,"St. Johns County, Florida",2007,175446,,194,62677,857
Florida,St. Lucie County,"St. Lucie County, Florida",2007,260939,,625,46411,913
Florida,Sumter County,"Sumter County, Florida",2007,72246,,19,42020,525
Florida,Volusia County,"Volusia County, Florida",2007,500413,10744.0,2493,42276,717
Georgia,Barrow County,"Barrow County, Georgia",2007,65955,,260,50357,659
Georgia,Bartow County,"Bartow County, Georgia",2007,92834,,571,46410,553
Georgia,Bibb County,"Bibb County, Georgia",2007,154709,,1563,35463,440
Georgia,Bulloch County,"Bulloch County, Georgia",2007,66176,,250,34135,457
Georgia,Carroll County,"Carroll County, Georgia",2007,111954,,557,41899,528
Georgia,Chatham County,"Chatham County, Georgia",2007,248469,3476.0,975,45647,648
Georgia,Cherokee County,"Cherokee County, Georgia",2007,204363,,415,60786,744
Georgia,Clarke County,"Clarke County, Georgia",2007,114063,2051.0,307,36391,570
Georgia,Clayton County,"Clayton County, Georgia",2007,272217,1623.0,707,43568,687
Georgia,Cobb County,"Cobb County, Georgia",2007,691905,19244.0,2349,64817,761
Georgia,Columbia County,"Columbia County, Georgia",2007,109100,,444,68263,659
Georgia,Coweta County,"Coweta County, Georgia",2007,118936,,855,57923,652
Georgia,DeKalb County,"DeKalb County, Georgia",2007,737093,16058.0,2625,51706,735
Georgia,Dougherty County,"Dougherty County, Georgia",2007,95693,,490,32208,424
Georgia,Douglas County,"Douglas County, Georgia",2007,124495,,241,55626,717
Georgia,Fayette County,"Fayette County, Georgia",2007,106144,,419,76789,816
Georgia,Floyd County,"Floyd County, Georgia",2007,95618,,135,42972,454
Georgia,Forsyth County,"Forsyth County, Georgia",2007,158914,,661,84872,846
Georgia,Fulton County,"Fulton County, Georgia",2007,992137,33084.0,4553,58837,743
Georgia,Glynn County,"Glynn County, Georgia",2007,74932,,183,46459,613
Georgia,Gwinnett County,"Gwinnett County, Georgia",2007,776380,17780.0,1576,63818,774
Georgia,Hall County,"Hall County, Georgia",2007,180175,2549.0,456,51797,643
Georgia,Henry County,"Henry County, Georgia",2007,186037,3943.0,569,62899,733
Georgia,Houston County,"Houston County, Georgia",2007,131016,,1220,53298,554
Georgia,Lowndes County,"Lowndes County, Georgia",2007,101790,,282,40084,532
Georgia,Muscogee County,"Muscogee County, Georgia",2007,187046,,1213,41514,524
Georgia,Newton County,"Newton County, Georgia",2007,96019,,752,49157,646
Georgia,Paulding County,"Paulding County, Georgia",2007,127906,,467,57028,667
Georgia,Richmond County,"Richmond County, Georgia",2007,197372,2739.0,716,37075,524
Georgia,Rockdale County,"Rockdale County, Georgia",2007,82052,,209,55247,674
Georgia,Walton County,"Walton County, Georgia",2007,83144,,57,48205,495
Georgia,Whitfield County,"Whitfield County, Georgia",2007,93379,,277,40406,497
Hawaii,Hawaii County,"Hawaii County, Hawaii",2007,173057,5951.0,2898,59111,871
Hawaii,Honolulu County,"Honolulu County, Hawaii",2007,905601,14026.0,8945,65367,1129
Hawaii,Maui County,"Maui County, Hawaii",2007,141843,4622.0,398,63550,1163
Idaho,Ada County,"Ada County, Idaho",2007,373406,8601.0,3379,54607,661
Idaho,Bannock County,"Bannock County, Idaho",2007,79925,,640,44374,464
Idaho,Bonneville County,"Bonneville County, Idaho",2007,96545,1363.0,1068,51065,550
Idaho,Canyon County,"Canyon County, Idaho",2007,179381,3428.0,2088,42869,583
Idaho,Kootenai County,"Kootenai County, Idaho",2007,134442,3121.0,1053,46669,623
Idaho,Twin Falls County,"Twin Falls County, Idaho",2007,73086,,480,39220,524
Illinois,Adams County,"Adams County, Illinois",2007,67046,,199,44048,364
Illinois,Champaign County,"Champaign County, Illinois",2007,190260,2584.0,1046,43407,556
Illinois,Cook County,"Cook County, Illinois",2007,5285107,84874.0,43849,52564,752
Illinois,DeKalb County,"DeKalb County, Illinois",2007,103729,,308,54894,669
Illinois,DuPage County,"DuPage County, Illinois",2007,929192,20671.0,2727,73472,882
Illinois,Kane County,"Kane County, Illinois",2007,501021,10167.0,997,68484,748
Illinois,Kankakee County,"Kankakee County, Illinois",2007,110705,1124.0,455,46418,558
Illinois,Kendall County,"Kendall County, Illinois",2007,96818,,283,76020,866
Illinois,LaSalle County,"LaSalle County, Illinois",2007,112616,,287,48110,453
Illinois,Lake County,"Lake County, Illinois",2007,710241,16792.0,2611,77834,820
Illinois,Macon County,"Macon County, Illinois",2007,108732,1237.0,472,44762,437
Illinois,Madison County,"Madison County, Illinois",2007,267347,4325.0,1445,52217,508
Illinois,McHenry County,"McHenry County, Illinois",2007,315943,8520.0,1179,73286,818
Illinois,McLean County,"McLean County, Illinois",2007,164209,3382.0,488,54071,563
Illinois,Peoria County,"Peoria County, Illinois",2007,182993,1422.0,1784,46652,491
Illinois,Rock Island County,"Rock Island County, Illinois",2007,147329,1382.0,703,45031,474
Illinois,Sangamon County,"Sangamon County, Illinois",2007,194122,2353.0,1700,47830,499
Illinois,St. Clair County,"St. Clair County, Illinois",2007,261316,3266.0,2472,46435,496
Illinois,Tazewell County,"Tazewell County, Illinois",2007,131154,,689,52332,497
Illinois,Vermilion County,"Vermilion County, Illinois",2007,81191,,1022,37227,393
Illinois,Will County,"Will County, Illinois",2007,673586,11626.0,2676,71384,723
Illinois,Winnebago County,"Winnebago County, Illinois",2007,298759,3821.0,1570,48101,536
Indiana,Allen County,"Allen County, Indiana",2007,349488,5403.0,3695,47729,507
Indiana,Bartholomew County,"Bartholomew County, Indiana",2007,74750,,387,54406,590
Indiana,Clark County,"Clark County, Indiana",2007,105035,,912,44454,498
Indiana,Delaware County,"Delaware County, Indiana",2007,115419,,2061,37702,471
Indiana,Elkhart County,"Elkhart County, Indiana",2007,197942,2314.0,1928,47965,562
Indiana,Floyd County,"Floyd County, Indiana",2007,73064,,1185,53441,536
Indiana,Grant County,"Grant County, Indiana",2007,68847,,751,36143,423
Indiana,Hamilton County,"Hamilton County, Indiana",2007,261661,7763.0,525,81916,740
Indiana,Hancock County,"Hancock County, Indiana",2007,66305,,334,62005,563
Indiana,Hendricks County,"Hendricks County, Indiana",2007,134558,,318,66251,714
Indiana,Howard County,"Howard County, Indiana",2007,83776,,1039,44361,458
Indiana,Johnson County,"Johnson County, Indiana",2007,135951,,409,59333,604
Indiana,Kosciusko County,"Kosciusko County, Indiana",2007,76115,,394,50332,492
Indiana,LaPorte County,"LaPorte County, Indiana",2007,109787,,1156,43480,480
Indiana,Lake County,"Lake County, Indiana",2007,492104,4805.0,6849,48042,576
Indiana,Madison County,"Madison County, Indiana",2007,131312,,915,42783,462
Indiana,Marion County,"Marion County, Indiana",2007,876804,11543.0,9755,45071,560
Indiana,Monroe County,"Monroe County, Indiana",2007,128643,1730.0,578,37534,577
Indiana,Morgan County,"Morgan County, Indiana",2007,69874,,483,52399,556
Indiana,Porter County,"Porter County, Indiana",2007,160578,2567.0,836,59521,612
Indiana,St. Joseph County,"St. Joseph County, Indiana",2007,266088,3148.0,2232,44260,545
Indiana,Tippecanoe County,"Tippecanoe County, Indiana",2007,163364,3819.0,1376,40910,565
Indiana,Vanderburgh County,"Vanderburgh County, Indiana",2007,174425,1530.0,1729,42015,489
Indiana,Vigo County,"Vigo County, Indiana",2007,104915,,881,36584,435
Indiana,Wayne County,"Wayne County, Indiana",2007,68260,,1096,39082,408
Iowa,Black Hawk County,"Black Hawk County, Iowa",2007,127446,,1560,41434,475
Iowa,Dubuque County,"Dubuque County, Iowa",2007,92359,,843,46320,446
Iowa,Johnson County,"Johnson County, Iowa",2007,125692,3314.0,551,51589,595
Iowa,Linn County,"Linn County, Iowa",2007,205836,2909.0,1995,52320,465
Iowa,Polk County,"Polk County, Iowa",2007,418339,5931.0,3284,54167,604
Iowa,Pottawattamie County,"Pottawattamie County, Iowa",2007,89409,,625,48912,518
Iowa,Scott County,"Scott County, Iowa",2007,162687,,2020,47052,483
Iowa,Story County,"Story County, Iowa",2007,84752,,454,47827,582
